response,labels
"MINIMUM
CPU: Pentium 4 2.4 GHz/ Athlon 64 2800+ (Intel & Athlon 1.8 GHz Dual Core or better supported) 
GPU: 128MB 3d Hardware Accelerated card required-100% DirectX 9.0c compatible and latest drivers (NVIDIA GeForce 6600+ / ATI Radeon 9800 Pro+) 
RAM: 512 MB 
VRAM:



RECOMMENDED
CPU: 2.4 GHz dual core or better 
GPU: 6 GB 
RAM: 3.0 Shader Support recommended. Nvidia Geforce 7800 or better or ATI Radeon X1800 or better 
VRAM: -",10
"MINIMUM
CPU: Intel Core i5-4690 / AMD FX-4350 or better 
GPU: Nvidia GeForce GTX 780 / AMD Radeon R9 280x or better 
RAM: 8 GB 
VRAM: -



RECOMMENDED
CPU: Intel Core i5-7600K / AMD Ryzen 5 1600x or better 
GPU: Nvidia GeForce GTX 1060 / AMD Radeon RX 580 or better (RTX 2060 for Ray-Tracing) 
RAM: 16 GB 
VRAM: -",11
"MINIMUM
CPU: Intelï¿½ Coreï¿½ 2 Duo E6600 or AMD Phenomï¿½ X3 8750 processor or better 
GPU: Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0 
RAM: 2 GB 
VRAM: -



RECOMMENDED
CPU: Ryzen 5 CPU or Equivalent/Intel Core i5 3570K or Equivalent 
GPU: Nvidia GTX 750 Ti or AMD Radeon R7 265 
RAM: 4 GB 
VRAM: -",12
"MINIMUM
CPU: Dual core CPU 
GPU: Geforce GTS 450/Radeon HD 5770 
RAM: 3 GB 
VRAM: -



RECOMMENDED
CPU: Quad core CPU 
GPU: Geforce GTX 560/Radeon HD 5870 
RAM: 4 GB 
VRAM: -",13
"MINIMUM
CPU: Intel Core i5-3570K or AMD FX-8310 
GPU: NVIDIA GeForce GTX 780 or AMD Radeon RX 470 
RAM: 8 GB 
VRAM: -



RECOMMENDED
CPU: Intel Core i7-4790 or AMD Ryzen 3 3200G 
GPU: NVIDIA GeForce GTX 1060 or AMD Radeon RX 590 
RAM: 12 GB 
VRAM: -",14
"MINIMUM
CPU: Intel Core i3-2100 / AMD FX-6300 
GPU: NVIDIAï¿½ GeForce GTX 750 Ti / ATI Radeon HD 7950 
RAM: 4 GB 
VRAM: -



RECOMMENDED
CPU: Intel Core i7-3770 / AMDï¿½ FX-8350 
GPU: NVIDIAï¿½ GeForce GTX 970 / ATI Radeon R9 series 
RAM: 8 GB 
VRAM: -",17
"MINIMUM
CPU: Intel - Core i3-3250 / AMD - FX-4350 
GPU: Nvidia - GeForce GTX 660 2GB / AMD - Radeon HD 7850 2GB 
RAM: 6 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel - Core i5-2400 / AMD - Ryzen R5 1600X 
GPU: Nvidia GeForce GTX 970 4GB or GTX 1060 6GB / AMD - Radeon R9 390 8GB 
RAM: 8 GB 
VRAM: 4 GB",18
"MINIMUM
CPU: Intelï¿½ Coreï¿½ i5-4460, AMD FXï¿½-6300, or better 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 760 or AMD Radeonï¿½ R7 260x with 2GB Video 
RAM, or better RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intelï¿½ Coreï¿½ i7-3770, AMD FXï¿½-9590, or better 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 1060 with 6GB V

VRAM, AMD Radeonï¿½ RX 480 RAM: 8 GB VRAM: 8 GB",19
"MINIMUM
CPU: Intel Core i5 @ 3.3 GHz or better, or AMD Ryzen 3 @ 3.1 GHz or better 
GPU: NVIDIA GeForce GTX 1050Ti (4GB), GTX 1060 (3GB), GTX 1650 (4GB) or AMD Radeon R9 280(3GB), AMD Radeon R9 290 (4GB), RX 470 (4GB) 
RAM: 8 GB 
VRAM: 3 GB



RECOMMENDED
CPU: Intel Core i7-6700K or better, or AMD Ryzen 7 1800X or better 
GPU: NVIDIA GeForce GTX 1060 (6GB), NVIDIA GeForce 970 (4GB), AMD RX 480 (8GB) 
RAM: 8 GB 
VRAM: 4 GB",15
"MINIMUM
CPU: Dual core from Intel or AMD at 2.8 GHz 
GPU: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 
RAM: 4 GB 
VRAM: 0.2 GB



RECOMMENDED
CPU: Intel Core i7-3770 / AMDï¿½ FX-8350 
GPU: NVIDIA GeForce GTX 1060 (6GB), NVIDIA GeForce 970 (4GB), AMD RX 480 (8GB) 
RAM: 8 GB 
VRAM: 4 GB",16
"MINIMUM
CPU: Intel Core i5-3470 / AMD FX 4350 
GPU: NVIDIA GTX 670 / AMD Radeon HD 7870 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-3770 / AMD FX 8350 
GPU: NVIDIA GTX 760 / AMD Radeon R9 270X 
RAM: 8 GB 
VRAM: 2 GB",92
"MINIMUM
CPU: Intel Core i3 540 or AMD A6-3620 
GPU: NVIDIA GeForce 460 / AMD Radeon 6850) or higher 
RAM: 3 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5 2300 or AMD FX4350 
GPU: NVIDIA GeForce GTX 750 or AMD Radeon HD 7850) or higher 
RAM: 8 GB 
VRAM: 2 GB",20
"MINIMUM
CPU: Intel Core i5-6600K or AMD Ryzen 5 1400 or better 
GPU: Nvidia GeForce GTX 970 / AMD RX 480 8GB or better 
RAM: 8 GB 
VRAM: 4 GB



RECOMMENDED
CPU: Intel Core i7-4790 or AMD Ryzen 5 1500X 
GPU: Nvidia GeForce GTX 1070 8GB / AMD RX Vega 56 8GB 
RAM: 8 GB 
VRAM: 8 GB",21
"MINIMUM
CPU: Dual core CPU 2.4 GHz 
GPU: GeForce GTS 450-class (Intel HD 4000) 
RAM: 4 GB 
VRAM: 0.5 GB



RECOMMENDED
CPU: Quad core CPU 3.0 GHz 
GPU: GeForce GTX 760-class (2 GB) 
RAM: 6 GB 
VRAM: 2 GB",22
"MINIMUM
CPU: Intel Core i3 2130 / AMD FX 4300 
GPU: NVIDIA GT 640 / AMD HD 7750 
RAM: 8 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5 9600K / AMD Ryzen 5 2600X 
GPU: NVIDIA GTX 1660 Ti / AMD RX 590 
RAM: 16 GB 
VRAM: 6 GB",23
"MINIMUM
CPU: Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalent 
GPU: NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB or equivalent 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7 4790 3.6 GHz/AMD FX-9590 4.7 GHz or equivalent 
GPU: NVIDIA GTX 780 3GB/AMD Radeon R9 290X 4GB or equivalent 
RAM: 8 GB 
VRAM: 3 GB",24
"MINIMUM
CPU: Intel Core i5-4440,AMD FX-8300 or better 
GPU: NVIDIA GeForce GTX 970, AMD R9 380 or better 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-7700K | AMD Ryzen 7 2700X or better 
GPU: NVIDIA GeForce GTX 1070 Ti or AMD RX 5700 or better 
RAM: 8 GB 
VRAM: 8 GB",25
"MINIMUM
CPU: AMD A-Seiries 2.2GHz / Intel Core i3 2.2GHz 
GPU: AMD Radeon R7 240 / NVIDIA GeForce GT 730 
RAM: 2 GB 
VRAM: 1 GB



RECOMMENDED
CPU: AMD A8-Series 3.1GHz / Intel Core i5 2.8GHz 
GPU: AMD Radeon RX 470 / NVIDIA GeForce GTX 960 
RAM: 4 GB 
VRAM: 2 GB",26
"MINIMUM
CPU: Core i3-3225 3.3 GHz 
GPU: Intel HD 4000 
RAM: 4 GB 
VRAM: -



RECOMMENDED
CPU: Core i5-7300U 3.5 GHz 
GPU: Nvidia GTX 660 or AMD Radeon HD 7870 equivalent DX11 GPU 
RAM: 8 GB 
VRAM: 2 GB",27
"MINIMUM
CPU: 1.8 GHz Processor 
GPU: DirectXï¿½ 9 level Graphics Card (Requires support for SSE) 
RAM: 2 GB 
VRAM: -



RECOMMENDED
CPU: 2.5 GHz Processor or better 
GPU: AMD Radeon RX 470 / NVIDIA GeForce GTX 960 
RAM: 8 GB 
VRAM: 1 GB",28
"MINIMUM
CPU: 2.0 GHz Dual Core Processor 
GPU: Shader Model 3.0-compatible 256 V

VRAM RAM: 2 GB VRAM: 1 GB



RECOMMENDED
CPU: 2.0 GHz Quad Core Processor 
GPU: NVIDIA GeForce 8800 GTS or ATI Radeon HD 3850 
RAM: 4 GB 
VRAM: 1 GB",29
"MINIMUM
CPU: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz 
GPU: NVIDIA 9800 GT 1GB / AMD HD 4870 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5 3470 @ 3.2GHz (4 CPUs) / AMD X8 FX-8350 @ 4GHz (8 CPUs) 
GPU: NVIDIA GTX 660 2GB / AMD HD 7870 2GB 
RAM: 8 GB 
VRAM: 2 GB",30
"MINIMUM
CPU: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon 64 X2 5400+ 
GPU: Intel HD Graphics 3000 / AMD HD2600 / NVIDIA Geforce 8600 
RAM: 2 GB 
VRAM: 0.2 GB



RECOMMENDED
CPU: Intel Core i7/AMD Bulldozer 
GPU: Intel Graphics 5200 / AMD HD6000 Series / Nvidia GTX500 Series 
RAM: 4 GB 
VRAM: 1 GB",31
"MINIMUM
CPU: Intel Core 2 Duo 2.4 GHz, Core i3, AMD Athlon 64 X2 or better 
GPU: NVIDIA GeForce 8600GT, ATI Radeon X1900, Intel HD 3000 or better 
RAM: 4 GB 
VRAM: 2 GB



RECOMMENDED
CPU: AMD A8-Series 3.1GHz / Intel Core i5 2.8GHz 
GPU: AMD Radeon RX 470 / NVIDIA GeForce GTX 960 
RAM: 4 GB 
VRAM: 2 GB",32
"MINIMUM
CPU: Intel i3 Dual-Core with Hyper-Threading (required) 
GPU: nVidia GeForce GTX 275 series or higher 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel i5 Quad Core or higher / AMD Phenom II X6 or higher 
GPU: nVidia GeForce GTX 560 series or higher / AMD Radeon HD 6870 or higher 
RAM: 8 GB 
VRAM: 1 GB",33
"MINIMUM
CPU: Core i5-7500 / Ryzen 5 1600 
GPU: GeForce GTX 1060 / Radeon RX 580 
RAM: 12 GB 
VRAM: 6 GB



RECOMMENDED
CPU: Intel Core i7-3770 / AMD FX 8350 
GPU: Nvidia GeForce GTX 970 4GB or GTX 1060 6GB / AMD - Radeon R9 390 8GB 
RAM: 6 GB 
VRAM: 2 GB",34
"MINIMUM
CPU: Core i5-2500K / AMD FX-8350 or better 
GPU: AMD Radeon R9 380 / NVIDIA GeForce GTX 960 or better 
RAM: 8 GB 
VRAM: 4 GB



RECOMMENDED
CPU: Intel Core i7-3770 / AMD FX 8350 
GPU: Nvidia GeForce GTX 970 4GB or GTX 1060 6GB / AMD - Radeon R9 
RAM: 12 GB 
VRAM: 6GB",35
"MINIMUM
CPU: Intel or AMD Processor, 2.0 GHz or better 
GPU: nVidia GeForce 200 512MB, Radeon HD 3450 512MB, Intel HD 3000 
RAM: 2 GB 
VRAM: -



RECOMMENDED
CPU: Intel or AMD Dual-Core or better, 2.6GHz+ 
GPU: nVidia GeForce 560 1024MB or better, AMD Radeon HD 7790 1024MB or better 
RAM: 4 GB 
VRAM: 1 GB",36
"MINIMUM
CPU: Intel CPU Core i5-2500K 3.3GHz / AMD CPU Phenom II X4 940 
GPU: NVIDIA GeForce GTX 660 / Radeon HD 7870 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel CPU Core i7 4790 4 GHz 
GPU: Nvidia GPU GeForce GTX 1070 / AMD GPU Radeon RX Vega 56 8GB 
RAM: 16 GB 
VRAM: 8 GB",37
"MINIMUM
CPU: Intel Core i5-4440 (3.10GHz)/AMD FX-6300 (3.50GHz) 
GPU: NVIDIA GeForce GTX 760/AMD Radeon HD 7970 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-8700 (3.20GHz)/AMD Ryzen 7 2700 (3.20GHz) 
GPU: NVIDIA GeForce GTX 980/AMD Radeon R9 390X 
RAM: 16 GB 
VRAM: 4 GB",38
"MINIMUM
CPU: Intel Core i5-4440 (3.10GHz)/AMD FX-6300 (3.50GHz) 
GPU: NVIDIA GeForce GTX 760/AMD Radeon HD 7970 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-8700 (3.20GHz)/AMD Ryzen 7 2700 (3.20GHz) 
GPU: NVIDIA GeForce GTX 980/AMD Radeon R9 390X 
RAM: 16 GB 
VRAM: 4 GB",39
"MINIMUM
CPU: Intel Core i5-4440 (3.10GHz)/AMD FX-6300 (3.50GHz) 
GPU: NVIDIA GeForce GTX 760/AMD Radeon HD 7970 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-8700 (3.20GHz)/AMD Ryzen 7 2700 (3.20GHz) 
GPU: NVIDIA GeForce GTX 980/AMD Radeon R9 390X 
RAM: 16 GB 
VRAM: 4 GB",40
"MINIMUM
CPU: Intel i5-2300/AMD FX-4300 
GPU: NVIDIA GeForce GTX 1050 (Legacy GPU: GeForce GTX 660) / AMD Radeon 7850 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel i7-4770/AMD FX-8350 
GPU: NVIDIA GeForce GTX 1060 / AMD RX 480 
RAM: 12 GB 
VRAM: 3072 MB",41
"MINIMUM
CPU: Intel Core i5-2500k, 3.3GHz / AMD Phenom II X6 1075T 3GHz 
GPU: NVIDIA GeForce GTX 670 (2GB) / AMD Radeon HD 7870 (2GB) 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-3770, 3.4 GHz / AMD FX-8350, 4.0 GHz 
GPU: NVIDIA GeForce GTX 780 (3GB) / AMD R9 290 (4GB) 
RAM: 8 GB 
VRAM: 3072 MB",42
"MINIMUM
CPU: Intel Core i5-2400 @ 3.1 GHz | AMD FX-6300 @ 3.5 GHz or better 
GPU: NVIDIA GeForce GTX 760 | AMD R9 270 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-4770 @ 3.4 GHz | AMD Ryzen 5 1600 @ 3.2 GHz or equivalent 
GPU: NVIDIA GeForce GTX 1070 (6GB V

VRAM or better) | AMD Vega 56 RAM: 16 GB VRAM: 6 GB",43
"MINIMUM
CPU: Intel Core i3 
GPU: GeForce GTX 470 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5 
GPU: GeForce GTX 660 TI 
RAM: 8 GB 
VRAM: 2 GB",44
"MINIMUM
CPU: Core 2 Duo E8200 2.66GHz or Phenom II X2 545 
GPU: Geforce GTS 250 or Radeon HD 4830 
RAM: 3 GB 
VRAM: 512 MB



RECOMMENDED
CPU: Core 2 Quad Q9550 2.83GHz or Phenom II X4 955 
GPU: GeForce GTX 560 or Radeon HD 6950 
RAM: 4 GB 
VRAM: 1 GB",45
"MINIMUM
CPU: 2 GHz processor (supporting SSE2 instruction set or higher) 
GPU: Shader version 2.0 capable video card 
RAM: 2 GB 
VRAM: 128 MB



RECOMMENDED
CPU: 3 GHz Dual-Core processor 
GPU: Nvidia GeForce 8800 or AMD Radeon HD 5670 or equivalent video card 
RAM: 4 GB 
VRAM: 512 MB or higher",46
"MINIMUM
CPU: Pentium 4 3.0GHz 
GPU: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better 
RAM: 2 GB 
VRAM: 128 MB



RECOMMENDED
CPU: Intel Core 2 Duo 2.4GHz 
GPU: Video Card Shader model 3.0. NVidia 7600, ATI X1600 or better 
RAM: 2 GB 
VRAM: 256 MB",47
"MINIMUM
CPU: Intelï¿½ Coreï¿½ i5-2400S AMD A8-7650K 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 760, NVIDIAï¿½ GeForceï¿½ GTX 1050, AMD Radeonï¿½ R9 280 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intelï¿½ Coreï¿½ i5-6500 AMD Ryzenï¿½ 5 1400 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 1070 Radeonï¿½ RX Vega 56 
RAM: 16 GB 
VRAM: 8192 MB",48
"MINIMUM
CPU: Intel Core 2 Duo or equivalent AMD dual core 
GPU: NVIDIA GeForce 7600GS or ATI Radeon 1950 
RAM: 2 GB 
VRAM: 256 MB



RECOMMENDED
CPU: Intel i5, 4 x 2.6 GHz or AMD equivalent 
GPU: NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or better 
RAM: 4 GB 
VRAM: 1 GB",49
"MINIMUM
CPU: Dual Core 2.0GHz or equivalent 
GPU: ATI or NVidia card 
RAM: 2 GB 
VRAM: 512 MB



RECOMMENDED
CPU: Dual Core 3.0GHz or equivalent 
GPU: NVIDIA GeForce GTX 260 or ATI HD 4890 
RAM: 2 GB 
VRAM: 1024 MB",50
"MINIMUM
CPU: Core i5-6400 / Ryzen 3 2200G 
GPU: AMD Radeon R9 380 or NVIDIA GeForce GTX 970 or better 
RAM: 8 GB 
VRAM: 4096 MB



RECOMMENDED
CPU: Ryzen 7 2700 / Core i7-8700 
GPU: AMD Radeon RX Vega 64 / GeForce GTX 1080 
RAM: 16 GB 
VRAM: 8192 MB",51
"MINIMUM
CPU: Intel Core i5-4460 (3.40 GHz) or better; Quad-core or better 
GPU: NVIDIA GeForce GTX 650 or better (DirectX 11 card Required) 
RAM: 4 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7-4790 (3.60GHz) or better; Quad-core or better 
GPU: NVIDIA GeForce GTX 760 (DirectX 11 graphic card required) 
RAM: 8 GB 
VRAM: 2 GB",52
"MINIMUM
CPU: Intel Core i5-4440 or equivalent 
GPU: GeForce GTX 670 / GeForce GTX 1050 / AMD Radeon HD 7870 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i7-4770k or equivalent 
GPU: GeForce GTX 1070 / GeForce RTX 2060 / AMD RX VEGA 56 
RAM: 8 GB 
VRAM: 8192 MB",53
"MINIMUM
CPU: Core i5 or better 
GPU: NVIDIA GeForce RTX 2060 
RAM: 8 GB 
VRAM: 6144 MB



RECOMMENDED
CPU: Intel Core i5 10400 or AMD Ryzen 5 3600 
GPU: NVIDIA 2060 Super/ NVIDIA 2070 Super or better 
RAM: 16 GB 
VRAM: 8192 MB",54
"MINIMUM
CPU: Intel Core i5-750, 2.66 GHz / AMD Phenom II X4 965, 3.4 GHz or AMD Ryzenï¿½ 3 1200, 3.1 GHz 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 670 or NVIDIAï¿½ GeForceï¿½ GTX 1050 / AMDï¿½ Radeonï¿½ HD 7950 or AMDï¿½ Radeonï¿½ R9 270 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i3-2100, 3.10 GHz / AMD FX-6300, 3.5 GHz or AMD Ryzenï¿½ 5 1400, 3.2 GHz 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 780 or NVIDIAï¿½ GeForceï¿½ GTX 1060-6GB / AMDï¿½ Radeonï¿½ R9 290 or RX 570 
RAM: 8 GB 
VRAM: 3072 MB",55
"MINIMUM
CPU: Intel Core2 Duo, 3.0GHz - AMD Athlon 64 X2 Dual Core 6400+ 3.2GHz 
GPU: 1024 MB video card 
RAM: 2 GB 
VRAM: 1024 MB



RECOMMENDED
CPU: Intel Core i7-860 Quad 2.80GHz / AMD FX-8120 
GPU: AMD Radeon HD 7850 or NVIDIA GeForce GTX 750 Ti 
RAM: 6 GB RAM 
VRAM: 2048 MB",57
"MINIMUM
CPU: Intelï¿½ Coreï¿½ i3-530 @ 2.93 GHz / AMD FX 4100 @ 3.60 GHz or better 
GPU: NVIDIAï¿½ GeForceï¿½ GT 450 / ATIï¿½ Radeonï¿½ HD 7770 or better 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intelï¿½ Coreï¿½ i5-4430 @ 3 GHz / AMD FX-8370 @ 3.4 GHz or better 
GPU: NVIDIAï¿½ GeForceï¿½ GTX 770 / ATIï¿½ Radeonï¿½ R9 270 or better 
RAM: 8 GB 
VRAM: 2 GB",56
"MINIMUM
CPU: Intel Core i5 3570 | AMD FX 6350 or better 
GPU: AMD Radeon HD 7970 or Radeon R9 280x | NVIDIA GeForce GTX 760 or better 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: Core i7-4790 | Ryzen 3 1300X or better 
GPU: AMD Radeon RX 480 | NVIDIA GeForce GTX 1060 or better 
RAM: 16 GB 
VRAM: 3072 MB",58
"MINIMUM
CPU: Intel Core i3 2100 or AMD A8-6500 
GPU: NVIDIA GeForce GTX 770 V

VRAM 2GB or AMD Radeon R9 270X RAM: 4 GB VRAM: 2048 MB



RECOMMENDED
CPU: Intel Core i5 4670 or AMD A10-7850K 
GPU: NVIDIA GeForce GTX 980 V

VRAM 4GB or AMD Radeon R9 380X RAM: 8 GB VRAM: 4096 MB",59
"MINIMUM
CPU: AMD Athlon X4 | Intel Core i5 4460 
GPU: Nvidia GTX 950 | AMD R7 370 
RAM: 8 GB 
VRAM: 2048 MB



RECOMMENDED
CPU: AMD Ryzen 3 | Intel i5 Skylake 
GPU: Nvidia GTX 970 | AMD RX 570 
RAM: 8 GB 
VRAM: 4096 MB",60
"MINIMUM
CPU: Intel Core i3-530 
GPU: NVIDIA Geforce GTX 260 / ATI Radeon HD 4870 
RAM: 4 GB 
VRAM: 1 GB



RECOMMENDED
CPU: Intel Core i5 
GPU: NVIDIA Geforce GTX 660 / ATI Radeon HD 7850 
RAM: 8 GB 
VRAM: 1.5 GB",61
"MINIMUM
CPU: Intel Core i3 or AMD Phenom X3 8650 
GPU: Nvidia GeForce GTX 460, ATI Radeon HD 4850, or Intel HD Graphics 4400 
RAM: 4 GB 
VRAM: 768 MB



RECOMMENDED
CPU: Intel Core i5 or AMD Phenom II X3, 2.8 GHz 
GPU: Nvidia GeForce GTX 660 or ATI Radeon HD 7950 
RAM: 6 GB 
VRAM: 2 GB",62
"MINIMUM
CPU: Intel Core i3-2115C 2.0GHz / AMD Athlon II X3 455 
GPU: AMD Radeon R5 340 (OEM) or NVIDIA GeForce GT 740 
RAM: 4 GB 
VRAM: 1024 MB



RECOMMENDED
CPU: Intel Core i5-750S 2.4GHz / AMD Phenom II X4 965 
GPU: AMD Radeon R7 360X or NVIDIA GeForce GTX 750 Ti 
RAM: 6 GB 
VRAM: 2 GB",63
"MINIMUM
CPU: 2 GHz Intel Dual Core Processor 
GPU: NVIDIA GeForce 8800/ATI Radeon HD 2600 
RAM: 2 GB 
VRAM: 256 MB



RECOMMENDED
CPU: 2.3 GHz Intel Quad Core Processor 
GPU: NVIDIA GeForce GTX460/ATI Radeon HD 5850 
RAM: 3 GB 
VRAM: 512 MB",64
"MINIMUM
CPU: Intel Core i5-4430 / AMD FX-6300 
GPU: NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i5-6600K / AMD Ryzen 5 1600 
GPU: NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 
RAM: 16 GB 
VRAM: 3 GB (4 GB AMD)",65
"MINIMUM
CPU: Intel Pentium 4 1.7GHz / AMD Athlon XP 1700+ 
GPU: AMD Radeon Xpress 1100 or NVIDIA GeForce 7300 GS 
RAM: 512 MB RAM 
VRAM: 128 MB



RECOMMENDED
CPU: Intel Pentium 4 3.0GHz / AMD Sempron 3600+ 
GPU: AMD Radeon HD 4550 or NVIDIA GeForce 8600 GT 
RAM: 1 GB 
VRAM: 256 MB",66
